location,parameter,value,unit,date,latitude,longitude
Manali (Urban),pm25,90.36385683461147,µg/m³,2025-10-21 19:30:40.011691,13.232700000000001,80.3207
Manali (Urban),pm10,208.05677792511932,µg/m³,2025-10-21 19:30:40.011691,13.232700000000001,80.3207
Manali (Urban),no2,70.3747022710372,µg/m³,2025-10-21 19:30:40.011691,13.232700000000001,80.3207
Manali (Urban),so2,14.081755666548228,µg/m³,2025-10-21 19:30:40.011691,13.232700000000001,80.3207
Manali (Urban),o3,26.6939192442322,µg/m³,2025-10-21 19:30:40.011691,13.232700000000001,80.3207
Manali (Urban),co,0.21227801649418113,mg/m³,2025-10-21 19:30:40.011691,13.232700000000001,80.3207
Adyar (Urban),pm25,50.932161471034945,µg/m³,2025-10-21 19:30:40.011691,13.1027,80.2907
Adyar (Urban),pm10,118.31940969315066,µg/m³,2025-10-21 19:30:40.011691,13.1027,80.2907
Adyar (Urban),no2,84.45351666212414,µg/m³,2025-10-21 19:30:40.011691,13.1027,80.2907
Adyar (Urban),so2,7.263996245569761,µg/m³,2025-10-21 19:30:40.011691,13.1027,80.2907
Adyar (Urban),o3,75.96935634545936,µg/m³,2025-10-21 19:30:40.011691,13.1027,80.2907
Adyar (Urban),co,0.2040569899435244,mg/m³,2025-10-21 19:30:40.011691,13.1027,80.2907
Anna Nagar (Urban),pm25,85.50320787182866,µg/m³,2025-10-21 19:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),pm10,204.75457559843028,µg/m³,2025-10-21 19:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),no2,50.734582404782934,µg/m³,2025-10-21 19:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),so2,21.437647641629567,µg/m³,2025-10-21 19:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),o3,41.54321099415998,µg/m³,2025-10-21 19:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),co,1.7853652651852987,mg/m³,2025-10-21 19:30:40.011691,13.062700000000001,80.25070000000001
Velachery (Urban),pm25,124.60481330095797,µg/m³,2025-10-21 19:30:40.011691,13.0927,80.2607
Velachery (Urban),pm10,200.73941346605673,µg/m³,2025-10-21 19:30:40.011691,13.0927,80.2607
Velachery (Urban),no2,22.76042467118229,µg/m³,2025-10-21 19:30:40.011691,13.0927,80.2607
Velachery (Urban),so2,28.577320143826494,µg/m³,2025-10-21 19:30:40.011691,13.0927,80.2607
Velachery (Urban),o3,16.403722926833836,µg/m³,2025-10-21 19:30:40.011691,13.0927,80.2607
Velachery (Urban),co,2.9786854497627924,mg/m³,2025-10-21 19:30:40.011691,13.0927,80.2607
Manali (Urban),pm25,124.82721542064847,µg/m³,2025-10-21 20:30:40.011691,13.232700000000001,80.3207
Manali (Urban),pm10,144.58263555669876,µg/m³,2025-10-21 20:30:40.011691,13.232700000000001,80.3207
Manali (Urban),no2,42.88989875615435,µg/m³,2025-10-21 20:30:40.011691,13.232700000000001,80.3207
Manali (Urban),so2,28.207234862052754,µg/m³,2025-10-21 20:30:40.011691,13.232700000000001,80.3207
Manali (Urban),o3,39.65637323694534,µg/m³,2025-10-21 20:30:40.011691,13.232700000000001,80.3207
Manali (Urban),co,2.3860668318403726,mg/m³,2025-10-21 20:30:40.011691,13.232700000000001,80.3207
Adyar (Urban),pm25,47.96406022868879,µg/m³,2025-10-21 20:30:40.011691,13.1027,80.2907
Adyar (Urban),pm10,199.45699395467534,µg/m³,2025-10-21 20:30:40.011691,13.1027,80.2907
Adyar (Urban),no2,63.05722459162069,µg/m³,2025-10-21 20:30:40.011691,13.1027,80.2907
Adyar (Urban),so2,8.95483682330229,µg/m³,2025-10-21 20:30:40.011691,13.1027,80.2907
Adyar (Urban),o3,12.14157297782139,µg/m³,2025-10-21 20:30:40.011691,13.1027,80.2907
Adyar (Urban),co,1.8817998487958056,mg/m³,2025-10-21 20:30:40.011691,13.1027,80.2907
Anna Nagar (Urban),pm25,67.49625817267643,µg/m³,2025-10-21 20:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),pm10,116.11793043895338,µg/m³,2025-10-21 20:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),no2,62.57554791098873,µg/m³,2025-10-21 20:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),so2,16.733041950640064,µg/m³,2025-10-21 20:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),o3,24.296808210292134,µg/m³,2025-10-21 20:30:40.011691,13.062700000000001,80.25070000000001
Anna Nagar (Urban),co,1.8129528827106958,mg/m³,2025-10-21 20:30:40.011691,13.062700000000001,80.25070000000001
